shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
mena-other,FATAFEAT-1.qa,FATAFEAT-1.qa,REVIEW,84,0,60,44.47,45.0,0,60,100.0,0.0,0.0,qa,,EMPTY_DESC=60(100%); LOW_TITLE_DIVERSITY=12%,ذي إنكريدبول دكتور بول,ذي إنكريدبول دكتور بول
mena-other,Fatafeat.sa,Fatafeat.sa,PASS,100,1,58,45.33,45.33,0,0,100.0,0.0,100.0,sa,,,شو بحب الأورف:الحلقة 15,مع سو أطيب:الحلقة 10
mena-other,FIFAPlus.uk,FIFA+,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,,NO_PROGRAMMES,,,
mena-other,Food Network.sa,Food Network.sa,PASS,100,1,62,45.5,45.5,0,0,100.0,0.0,100.0,sa,,,فليفرتاون فود فايت:هيت داي,24 في 24: آخر طاهٍ في المكانة:المرحلة السابعة: الدقة
mena-other,France 24.sa,France 24.sa,REVIEW,92,0,226,44.9,44.9,0,0,100.0,0.0,100.0,sa,,LOW_TITLE_DIVERSITY=15%,رياضة 24,الأخبار
mena-other,France.24.Arabic.ae,France 24 Arabic,REVIEW,76,0,272,48.32,48.32,0,272,91.2,100.0,0.0,ae,,SHORT_LT_2M=24; EMPTY_DESC=272(100%); LOW_TITLE_DIVERSITY=13%,قراءة في الصحف,الأخبار
mena-other,France.24.English.ae,France 24 English,REVIEW,76,0,242,48.42,48.42,0,242,0.0,100.0,0.0,ae,,SHORT_LT_2M=15; EMPTY_DESC=242(100%); LOW_TITLE_DIVERSITY=12%; DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,Press Review,News
mena-other,French.ae,French,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Gametoon.nl@SD,Gametoon,REVIEW,84,0,24,24.0,24.0,0,0,100.0,100.0,100.0,,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=4%,Gametoon,Gametoon
mena-other,GINXTV.uk@SD,Ginx,PASS,100,1,46,42.0,42.0,0,0,100.0,0.0,100.0,,,,ذا فريست اور,شات اب اند بلاي
mena-other,GMA Life TV.sa,GMA Life TV.sa,REVIEW,92,0,15,16.73,16.73,0,15,0.0,100.0,0.0,sa,,EMPTY_DESC=15(100%),Kalerks,REEL LIFE
mena-other,GMA News TV.sa,GMA News TV.sa,REVIEW,92,0,25,16.98,16.98,0,25,0.0,100.0,0.0,sa,,EMPTY_DESC=25(100%),Agripreneur,Born Impact
mena-other,GMA Pinoy TV.sa,GMA Pinoy TV.sa,REVIEW,92,0,23,16.65,16.65,0,23,0.0,100.0,0.0,sa,,EMPTY_DESC=23(100%),Maria Clara at Ibarra,Born to Shine
mena-other,H2 HD.sa,H2 HD.sa,REVIEW,92,0,22,16.5,16.5,0,22,0.0,100.0,0.0,sa,,EMPTY_DESC=22(100%),Unidentified: Inside America's UFO Investigation,UFO Hunters
mena-other,Hadhramaut TV.eg,Hadhramaut TV.eg,REVIEW,92,0,57,48.0,48.0,0,57,82.5,17.5,0.0,eg,,EMPTY_DESC=57(100%),Riah Al Simom,برنامج أعلام حضرموت وفترة غنائية
mena-other,Haq.TV.ae,Haq TV,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,HGTV.sa,HGTV.sa,PASS,100,1,79,45.27,45.27,0,0,100.0,0.0,100.0,sa,,,ساعدوني! دمّرت منزلي:هِي سِيد شي سِيد، كول جاسمن,ساعدوني! دمّرت منزلي:هوز ديسجن إز ات أني واي؟
mena-other,HGTVArabia.us@SD,HGTVArabia,REVIEW,92,0,15,13.42,13.42,0,15,100.0,0.0,0.0,,,EMPTY_DESC=15(100%),ماستر شيف أستراليا (موسم 17، حلقة18),بريتنز جوت تالنت (موسم 19، حلقة2)
mena-other,History2MiddleEast.us@SD,H2 HD,PASS,100,1,55,41.25,41.25,0,0,100.0,0.0,100.0,,,,أنيدنتفايد: إنسايد أميركاس يو إف أو إنفستغيشن,يوفو هانترز
mena-other,HistoryMiddleEast.us@SD,History HD,REVIEW,92,0,62,41.25,41.25,0,0,100.0,0.0,100.0,,,LOW_TITLE_DIVERSITY=19%,هستوريز غريتيست مستريز,هستوريز غريتيست مستريز
mena-other,HodHod.TV.ae,HodHod TV,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Hogan.TV.ae,Hogan TV,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Holly.Quran.ae,Holly Quran,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Home.TV.ae,Home TV,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Houna.alazm.ae,Houna alazm,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,I.News.HD.ae,I News HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,i24NEWSArabic.il@SD,I24NEWS عربى,REVIEW,92,0,39,36.0,37.0,0,39,100.0,12.8,0.0,,,EMPTY_DESC=39(100%),الأخبار,المناظرة المسائية
mena-other,iFILM TV.eg,iFILM TV.eg,REVIEW,92,0,13,13.0,13.0,0,13,0.0,100.0,0.0,eg,,EMPTY_DESC=13(100%),The Engineer Child S4,Capital S7
mena-other,iFilm.Arabic.ae,iFilm Arabic,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,iFilmArabic.ir@SD,آي فيلم,PASS,100,1,11,11.0,11.0,0,0,100.0,36.4,100.0,,,,الروح الطيبة,سيدة العمارة
mena-other,iKA.TV.ae,iKA TV,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Imam.Ali.Shrine.TV.ae,Imam Ali Shrine TV,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,InvestigationDiscovery.uk@SD,Discovery IDX HD,PASS,100,1,41,41.0,41.0,0,0,100.0,4.9,100.0,,,,سوموان يو ثوت يو نيو,ذا كيلر بيسايد مي
mena-other,Iraqia TV.eg,Iraqia TV.eg,REVIEW,92,0,58,47.5,47.5,0,58,69.0,31.0,0.0,eg,,EMPTY_DESC=58(100%),برنامج صباح الخير يا عراق,برنامج صحافتنا
mena-other,Iraqia.Syriac.ae,Iraqia Syriac,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Jeem-HD-1-01.qa,Jeem-HD-1-01.qa,REVIEW,92,0,44,43.97,46.0,0,44,0.0,100.0,0.0,qa,,EMPTY_DESC=44(100%),The Powerpuff Girls,Ekans
mena-other,Jin.TV.HD.ae,Jin TV HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Kadak.ae,Kadak,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Kapatid TV5 International.sa,Kapatid TV5 International.sa,REVIEW,92,0,9,16.98,16.98,0,9,0.0,100.0,0.0,sa,,EMPTY_DESC=9(100%),Kusina Ni Mamang,One Balita Pilipinas
mena-other,KBS.World.ae,KBS World,REVIEW,92,0,61,48.92,48.92,0,61,0.0,100.0,0.0,ae,,EMPTY_DESC=61(100%),Love On The Menu,KBS World News Today
mena-other,KidZone Max.sa,KidZone Max.sa,REVIEW,84,0,46,46.0,46.0,0,0,0.0,100.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,KidZone Max,KidZone Max
mena-other,KTO.ae,KTO,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,LDC.eg,LDC.eg,REVIEW,92,0,36,38.0,38.0,0,36,47.2,66.7,0.0,eg,,EMPTY_DESC=36(100%),برنامج شمس الصباح,Naharukum Saeid
mena-other,Logos.TV.ae,Logos TV,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,LTV.sa,LTV.sa,REVIEW,84,0,46,46.0,46.0,0,0,100.0,0.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,إل تي في,إل تي في
mena-other,Makan33.il@SD,مكان,REVIEW,92,0,51,39.25,39.25,0,18,100.0,3.9,100.0,,,EMPTY_DESC=18(35%),שידורי רדיו מכאן - מריה וערין (ש.ח.),שידורי רדיו מכאן - כותרת צהריים
mena-other,Marina.HD.ae,Marina HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,MarjaeyatTV.2.HD.ae,MarjaeyatTV 2 HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Masah.eg,Masah.eg,REVIEW,92,0,55,48.0,48.0,0,55,92.7,7.3,0.0,eg,,EMPTY_DESC=55(100%),برنامج,برنامج
mena-other,Maspero Zaman.eg,Maspero Zaman.eg,REVIEW,92,0,49,37.0,37.0,0,49,34.7,65.3,0.0,eg,,EMPTY_DESC=49(100%),برنامج قصة قصيرة,The City of the Alphabet
mena-other,MCMTop.fr@SD,MCM TOP,REVIEW,76,0,41,41.0,41.0,0,40,100.0,0.0,100.0,,,EMPTY_DESC=40(98%); REPEATED_TITLE=80%; LOW_TITLE_DIVERSITY=10%,توب ميكس,توب ميكس
mena-other,Med.Muzîk.ae,Med Muzîk,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Mix Bel Araby.eg,Mix Bel Araby.eg,REVIEW,84,0,46,48.0,48.0,0,46,13.0,87.0,0.0,eg,,EMPTY_DESC=46(100%); LOW_TITLE_DIVERSITY=20%,Forbidden Apple S5,"Love, Reason, Get Even"
mena-other,Mix ONE.eg,Mix ONE.eg,REVIEW,92,0,44,48.0,48.0,0,44,18.2,81.8,0.0,eg,,EMPTY_DESC=44(100%),Forbidden Love,Saraswatichandra
mena-other,Mix.ae,Mix,REVIEW,92,0,23,50.75,50.75,0,23,0.0,100.0,0.0,ae,,EMPTY_DESC=23(100%),Divergent,Avengers: Infinity War
mena-other,Mix.bel.Araby.TV.ae,Mix bel Araby TV,REVIEW,92,0,25,50.0,50.0,0,25,0.0,100.0,0.0,ae,,EMPTY_DESC=25(100%),Al Sharabya,"Desire, Envy, And Revenge"
mena-other,MoonbugKids.uk@SD,Moonbug Kids,REVIEW,92,0,75,42.92,42.92,0,0,100.0,0.0,100.0,,,LOW_TITLE_DIVERSITY=19%,بليبي,بليبي
mena-other,MotorvisionPlus.de@SD,MOTORVISION,PASS,100,1,79,41.42,41.42,0,0,100.0,0.0,100.0,,,,استراليان دراغ رايسنغ تشامبونشب 2024,بطولة فيم كوادكروس العالمية 2026
mena-other,MOVIES1 PREMIERE DIGITAL.qa,MOVIES1 PREMIERE DIGITAL.qa,REVIEW,92,0,23,43.78,46.25,0,23,100.0,0.0,0.0,qa,,EMPTY_DESC=23(100%),المنزل آمن!,هاي غراوند
mena-other,MOVIES2 ACTION DIGITAL.qa,MOVIES2 ACTION DIGITAL.qa,REVIEW,92,0,24,44.27,44.73,0,24,100.0,0.0,0.0,qa,,EMPTY_DESC=24(100%),رجال البدلة السوداء 3,رجال بملابس السوداء: دوليين
mena-other,MOVIES3 DRAMA DIGITAL.qa,MOVIES3 DRAMA DIGITAL.qa,REVIEW,92,0,23,43.22,46.25,0,23,91.3,8.7,0.0,qa,,EMPTY_DESC=23(100%),12 الأيتام الأقوياء,إجازة تطوعية
mena-other,MOVIES4 FAMILY DIGITAL.qa,MOVIES4 FAMILY DIGITAL.qa,REVIEW,92,0,27,43.28,46.28,0,27,100.0,0.0,0.0,qa,,EMPTY_DESC=27(100%),السنافر,بادينجتون في بيرو
mena-other,Mowagahat-1.ae,Mowagahat-1,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Mowagahat-2.ae,Mowagahat-2,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Mowagahat-8.ae,Mowagahat-8,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Mowajahat.ae,Mowajahat,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,MTA.3.ae,MTA 3,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,MTV.eg,MTV.eg,REVIEW,92,0,59,47.42,47.42,0,59,67.8,35.6,0.0,eg,,EMPTY_DESC=59(100%),Six of Us,برنامج
mena-other,MTV80s.uk@SD,MTV80s,REVIEW,92,0,18,13.92,13.92,0,18,100.0,0.0,0.0,,,EMPTY_DESC=18(100%),ذي إنكريدبول دكتور بول (موسم 20، حلقة20),ذي إنكريدبول دكتور بول (موسم 20، حلقة12)
mena-other,Myx.sa,Myx.sa,REVIEW,92,0,17,16.98,16.98,0,17,0.0,100.0,0.0,sa,,EMPTY_DESC=17(100%),Press Play,Fresh Content on Myx
mena-other,Nat geo hd.qa,Nat geo hd.qa,REVIEW,84,0,41,38.97,45.0,2,41,100.0,0.0,0.0,qa,,EMPTY_DESC=41(100%); GAPS_GT_2H=2/TOTAL=6.0h,معركة البقاء في المتوسط,في حب الخيول البرية
mena-other,Nat. Geo. AD.sa,Nat. Geo. AD.sa,PASS,100,1,60,45.25,45.25,0,0,100.0,0.0,100.0,sa,,,غوردن رامزي: المجهول,اكتشاف عالم المحيطات
mena-other,Nat. Geo. Wild HD.sa,Nat. Geo. Wild HD.sa,PASS,100,1,63,45.75,45.75,0,0,100.0,0.0,100.0,sa,,,ذي إنكريدابل د. بول:ذا بيغل هاز لانديد,ذي إنكريدابل د. بول:ليلو آند ستيتشيز
mena-other,Nat. Geographic.sa,Nat. Geographic.sa,PASS,100,1,60,45.0,45.0,0,0,100.0,0.0,100.0,sa,,,هاو ذا تيودرز لوست ذير هيدز:بيركن ووربك آند ذا برنسز إن ذا تاور,كار إس.أو.إس:لوتس إيليس
mena-other,NBA DIGITAL.qa,NBA DIGITAL.qa,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,qa,NO_PROGRAMMES,,,
mena-other,Nedaa.El.Islam.ae,Nedaa El Islam,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Network Arabic.eg,Network Arabic.eg,REVIEW,92,0,48,48.0,48.0,0,48,0.0,100.0,0.0,eg,,EMPTY_DESC=48(100%),Ben 10 S1,The Tom and Jerry Show S5
mena-other,NEWS DIGITAL.qa,NEWS DIGITAL.qa,REVIEW,92,0,79,42.0,44.0,0,79,0.0,100.0,0.0,qa,,EMPTY_DESC=79(100%),News Bulletin,Special Interview - 13/09/26
mena-other,NHK.World.Japan.ae,NHK World Japan,REVIEW,92,0,136,48.75,48.75,0,136,0.0,100.0,0.0,ae,,EMPTY_DESC=136(100%),Newsline Asia 24,Magical Japanese
mena-other,On.Time.Sport.2.HD.ae,On Time Sport 2 HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,One Drama.eg,One Drama.eg,REVIEW,92,0,14,14.0,14.0,0,14,0.0,100.0,0.0,eg,,EMPTY_DESC=14(100%),Cherry Season,My Siblings
mena-other,One Movies.eg,One Movies.eg,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,eg,NO_PROGRAMMES,,,
mena-other,One TV.sa,One TV.sa,REVIEW,92,0,35,41.5,41.5,0,5,100.0,100.0,100.0,sa,,EMPTY_DESC=5(14%),Dubai Eye : 2026: Ep 177,Desperate Mrs.Seonju: Ep 109
mena-other,One.America.News.Network.ae,One America News Network,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Outdoor.Channel.ae,Outdoor Channel,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Padel TV.sa,Padel TV.sa,REVIEW,76,0,29,29.0,29.0,0,29,0.0,100.0,0.0,sa,,EMPTY_DESC=29(100%); REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=3%,Padel Time TV,Padel Time TV
mena-other,Panorama.Drama.2.ae,Panorama Drama 2,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Panorama.Drama.ae,Panorama Drama,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Panorama.Film.ae,Panorama Film,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Panorama.Food.ae,Panorama Food,REVIEW,84,0,41,49.0,49.0,0,41,0.0,100.0,0.0,ae,,EMPTY_DESC=41(100%); LOW_TITLE_DIVERSITY=20%,Food Secrets,Folk Meals
mena-other,Pishto.ae,Pishto,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,PraiseLive.Global.ae,PraiseLive Global,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Press.TV.HD.ae,Press TV HD,REVIEW,92,0,108,48.83,48.83,0,108,0.0,100.0,0.0,ae,,EMPTY_DESC=108(100%); DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,Trip In Korea,K-Culture Minutes: K-Now
mena-other,Quran.Kareem.ae,Quran Kareem,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,RDK.ae,RDK,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,RFMTV.fr@SD,RFM TV,REVIEW,84,0,41,41.0,41.0,0,0,100.0,0.0,100.0,,,REPEATED_TITLE=71%; LOW_TITLE_DIVERSITY=10%,ذا بيست وايك اب,ار اف ام هيتس
mena-other,Riyadh Season.sa,Riyadh Season.sa,REVIEW,84,0,46,46.0,46.0,0,0,100.0,0.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,موسم الرياض,موسم الرياض
mena-other,Rojava.TV.HD.ae,Rojava TV HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Ronahε.TV.ae,Ronahε TV,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Roya.sa,Roya.sa,REVIEW,84,0,46,46.0,46.0,0,0,100.0,0.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,رؤيا,رؤيا
mena-other,RT Documentary.sa,RT Documentary.sa,REVIEW,92,0,180,45.02,45.02,0,0,100.0,0.0,100.0,sa,,LOW_TITLE_DIVERSITY=8%,حروب وكوارث,حروب وكوارث
mena-other,RT News.sa,RT News.sa,REVIEW,92,0,91,45.5,45.5,0,0,100.0,0.0,100.0,sa,,LOW_TITLE_DIVERSITY=9%,هيدلاين نيوز,برنامج وثائقي
mena-other,RT.ru@SD,RT English,REVIEW,92,0,82,41.0,41.0,0,0,100.0,9.8,100.0,,,LOW_TITLE_DIVERSITY=8%,أهم الأخبار,وثائقي
mena-other,RTArabic.ru@SD,RT Arabic,REVIEW,76,0,144,40.52,40.52,0,0,100.0,92.4,100.0,,,SHORT_LT_2M=13; REPEATED_TITLE=92%; LOW_TITLE_DIVERSITY=1%,RT Arabic,RT Arabic
mena-other,Sahar.Kurdi.ae,Sahar Kurdi,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
